DateTime,PM1_0_ugm3,PM2_5_ugm3,PM10_0_ugm3,PM2_5_AQI,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,Temp_C,Humedad_%,Presion
2025/04/29T17:14:25z,10.56,15.42,18.2,58,1953.87,561.13,89.89,12.38,3.47,2.35,36.11,27,967.09
2025/04/29T17:16:25z,10.86,14.84,19.21,57,2028.32,591.68,84.36,11.38,5.18,2.71,36.67,27,967.08
